AirtableID,Request ID,Monday Part Request,Material,Request Status,Part Type,Qty On Order,Qty Completed,Quantity Remaining,Created,Last Modified Time,Daily Update,Daily Update 2,Daily Update 3,Daily Update 4,Remaining Manufacturing Time (Hours),Pricing,Lookup Manufacturing Time (from Pricing),Run Automation,Daily Update copy
Atrium Open - Cups - Katalox - 8970262524,8970262524,Atrium Open,Katalox,Open,Cups,20,12,8,4/21/2025 4:34pm,6/4/2025 7:12pm,,,"1313,1358,1362,1363",,4,Cups,0:30,,
Atrium Open - Cups - Zebra - 8999543140,8999543140,Atrium Open,Zebra,Open,Cups,60,10,50,4/24/2025 1:38pm,5/21/2025 7:12pm,,,1346,,25,Cups,0:30,,
Caldera Closed - Cups - Amboyna Burl - 8334960768,8334960768,Caldera Closed,Amboyna Burl,Open,Cups,12,9,3,1/27/2025 5:07pm,4/3/2025 6:35pm,,,"1268,1270",,2,Cups,0:30,,
Bokeh Closed - Cups - Resin Flake/Resin/Stbz - 8354304651,8354304651,Bokeh Closed,Resin Flake/Resin/Stbz,Open,Cups,22,9,13,1/29/2025 2:08pm,3/31/2025 10:35am,,,"1212,1213",,7,Cups,0:30,,
Amp Panels - Amp Panels - Dark Richlite - 7484810082,7484810082,Amp Panels,Dark Richlite,Open,Amp Panels,10,8,2,9/23/2024 12:08pm,2/17/2025 1:50pm,,,"902,1098,1176",,2,Amp Panels,1:00,,
Atrium Closed - Cups - Stabilized and/or Resin - 8354302396,8354302396,Atrium Closed,Stabilized and/or Resin,Open,Cups,10,8,2,1/29/2025 2:08pm,3/11/2025 4:50pm,,,"1129,1219",,1,Cups,0:30,,
Verite Closed - Cups - Sapele - 8122819706,8122819706,Verite Closed,Sapele,Open,Cups,10,7,3,12/28/2024 2:06am,1/17/2025 5:50pm,,,1121,,2,Cups,0:30,,
Atrium - Cups - Apple Burl - 8334943688,8334943688,Atrium,Apple Burl,Open,Cups,8,7,1,1/27/2025 5:07pm,4/3/2025 6:35pm,,,"1260,1267,1272",,1,Cups,0:30,,
Atrium - Cups - Cherry - 8435130304,8435130304,Atrium,Cherry,Open,Cups,10,7,3,2/8/2025 7:06pm,2/13/2025 2:08pm,,,1162,,2,Cups,0:30,,
Caldera Closed - Cups - Pink Ivory - 8334992629,8334992629,Caldera Closed,Pink Ivory,Open,Cups,5,4,1,1/27/2025 5:07pm,3/11/2025 9:50pm,,,1223,,1,Cups,0:30,,
Atrium - Cups - Resin Flake - 8478005274,8478005274,Atrium,Resin Flake,Open,Cups,6,4,2,2/13/2025 7:07pm,2/14/2025 3:50pm,,,1175,,1,Cups,0:30,,
Caldera Closed - Cups - Queensland Maple (new slab) - 5952753319,5952753319,Caldera Closed,Queensland Maple (new slab),Open,Cups,6,3,3,1/29/2024 1:06pm,2/8/2024 10:09am,,,"533,539",,2,Cups,0:30,,
MEGA SALIRE - Stands - Shedua - 6344421894,6344421894,MEGA SALIRE,Shedua,Open,Stands,30,3,27,3/27/2024 10:06pm,2/27/2025 6:50pm,,,1197,,27,Stands,1:00,,
Aeolus - Cups - Flake or Resin - 8354306049,8354306049,Aeolus,Flake or Resin,Open,Cups,5,3,2,1/29/2025 2:08pm,3/13/2025 1:07pm,,,1133,,1,Cups,0:30,,
Verite Open - Cups - Stabilized and/or Resin - 8354307779,8354307779,Verite Open,Stabilized and/or Resin,Open,Cups,5,3,2,1/29/2025 2:08pm,4/3/2025 6:35pm,,,"1227,1271",,1,Cups,0:30,,
Atrium Closed - Cups - Canary - 8999541815,8999541815,Atrium Closed,Canary,Open,Cups,20,6,14,4/24/2025 1:38pm,6/4/2025 7:12pm,,,"1359,1364",,7,Cups,0:30,,
Amp Panels - Amp Panels - Medium/Brown - 9127621715,9127621715,Amp Panels,Medium/Brown,Open,Amp Panels,6,3,3,5/12/2025 10:53am,5/20/2025 2:24pm,,,1345,,3,Amp Panels,1:00,,
Atrium Open or Closed - Cups - Black Walnut Stabilized/Resin - 6013955883,6013955883,Atrium Open or Closed,Black Walnut Stabilized/Resin,Open,Cups,4,2,2,2/6/2024 4:06pm,2/14/2024 6:24pm,,,548,,1,Cups,0:30,,
Atrium - Cups - Macassar Ebony - 8334990162,8334990162,Atrium,Macassar Ebony,Open,Cups,6,2,4,1/27/2025 5:07pm,2/7/2025 1:51pm,,,"1142,1154",,2,Cups,0:30,,
Caldera Closed - Cups - Thailand Amboyna Burl - 7640212512,7640212512,Caldera Closed,Thailand Amboyna Burl,Open,Cups,2,1,1,10/15/2024 2:08pm,10/22/2024 11:26am,,,967,,1,Cups,0:30,,
Atrium Closed - Cups - Amboyna Burl - 8334966643,8334966643,Atrium Closed,Amboyna Burl,Open,Cups,4,1,3,1/27/2025 5:07pm,3/11/2025 4:50pm,,,1220,,2,Cups,0:30,,
Bokeh Closed - Cups - Stabilized Red - 8820993230,8820993230,Bokeh Closed,Stabilized Red,Open,Cups,2,1,1,3/31/2025 3:35pm,3/31/2025 8:35pm,,,1258,,1,Cups,0:30,,
Wood Boxes - Boxes and Cases - Sapele - 5286024769,5286024769,Wood Boxes,Sapele,Open,Boxes and Cases,100,0,100,10/5/2023 5:49pm,11/29/2023 12:02am,,,,,200,Boxes and Cases,2:00,,
Deckware Cases - Boxes and Cases - Sapele - 5286025132,5286025132,Deckware Cases,Sapele,Open,Boxes and Cases,,0,0,10/5/2023 5:49pm,11/29/2023 3:29pm,,,,,0,Boxes and Cases,2:00,,
Salire - Stands - Purple Heart - 5631283032,5631283032,Salire,Purple Heart,Open,Stands,5,,5,12/5/2023 12:24pm,12/5/2023 12:24pm,,,,,5,Stands,1:00,,
Caldera Closed (new design Slack with Zach) - Cups - Oak - 5698534327,5698534327,Caldera Closed (new design Slack with Zach),Oak,Open,Cups,5,,5,12/16/2023 6:24pm,12/16/2023 6:24pm,,,,,3,Cups,0:30,,
Caldera Closed (new design) - Cups - Patagonian Rosewood - 5730599331,5730599331,Caldera Closed (new design),Patagonian Rosewood,Open,Cups,2,,2,12/21/2023 2:06pm,12/21/2023 2:06pm,,,,,1,Cups,0:30,,
Verite Closed - Cups - Ash - 5926364668,5926364668,Verite Closed,Ash,Open,Cups,4,,4,1/24/2024 6:06pm,1/24/2024 6:06pm,,,,,2,Cups,0:30,,
